fips,addressCounty,addressState,Total,C18 Total,C93 Total,C25 Total,C61 Total,C64 Total,C54 Total,C85 Total,C73 Total,C91 Total,C43 Total,C50 Total,C34 Total,C92 Total,C67 Total
45033,Dillon County,SC,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
45035,Dorchester County,SC,12.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
45041,Florence County,SC,201.0,18.0,0.0,17.0,19.0,4.0,0.0,6.0,1.0,14.0,8.0,46.0,62.0,4.0,2.0
45043,Georgetown County,SC,15.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0
45045,Greenville County,SC,2480.0,473.0,2.0,307.0,183.0,50.0,17.0,47.0,49.0,78.0,79.0,490.0,554.0,61.0,90.0
45047,Greenwood County,SC,35.0,7.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,10.0,5.0,0.0,0.0
45051,Horry County,SC,665.0,133.0,1.0,85.0,47.0,18.0,13.0,30.0,19.0,22.0,22.0,95.0,142.0,16.0,22.0
45055,Kershaw County,SC,16.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
45057,Lancaster County,SC,252.0,41.0,0.0,18.0,24.0,4.0,0.0,6.0,3.0,16.0,11.0,60.0,60.0,3.0,6.0
45063,Lexington County,SC,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45067,Marion County,SC,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
45071,Newberry County,SC,97.0,24.0,0.0,7.0,8.0,1.0,1.0,5.0,1.0,5.0,6.0,7.0,23.0,1.0,8.0
45075,Orangeburg County,SC,371.0,77.0,0.0,8.0,42.0,8.0,18.0,7.0,6.0,12.0,6.0,125.0,43.0,1.0,18.0
45079,Richland County,SC,316.0,46.0,0.0,33.0,35.0,11.0,4.0,6.0,2.0,16.0,7.0,8.0,111.0,5.0,32.0
45081,Saluda County,SC,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45083,Spartanburg County,SC,4349.0,417.0,3.0,433.0,307.0,118.0,47.0,74.0,90.0,91.0,233.0,1200.0,1148.0,57.0,131.0
45085,Sumter County,SC,731.0,71.0,2.0,26.0,82.0,12.0,5.0,5.0,9.0,11.0,23.0,361.0,86.0,19.0,19.0
